season,week,celebrity_name,rule_type,judge_raw,judge_metric,fan_vote_mean,fan_vote_share_pct,ci_low,ci_high,abc_accept_rate,feasible_min,feasible_max,slack_min,is_noisy,week_type,n_active,is_eliminated_this_week
1,1,Evander Holyfield,rank,18.0,4.0,3.503,16.654662925153616,1.0,6.0,1.0,1.0,6.0,0.0,False,no_elimination,6,False
1,1,Joey McIntyre,rank,20.0,1.0,3.4951,16.686270120212118,1.0,6.0,1.0,1.0,6.0,0.0,False,no_elimination,6,False
1,1,John O'Hurley,rank,20.0,1.0,3.4962,16.681865526332356,1.0,6.0,1.0,1.0,6.0,0.0,False,no_elimination,6,False
1,1,Kelly Monaco,rank,13.0,6.0,3.4975,16.676661596143465,1.0,6.0,1.0,1.0,6.0,0.0,False,no_elimination,6,False
1,1,Rachel Hunter,rank,20.0,1.0,3.5015,16.660659683158343,1.0,6.0,1.0,1.0,6.0,0.0,False,no_elimination,6,False
1,1,Trista Sutter,rank,18.0,4.0,3.5067,16.639880149000096,1.0,6.0,1.0,1.0,6.0,0.0,False,no_elimination,6,False
1,2,Evander Holyfield,rank,14.0,6.0,1.8993089832181638,23.544058943570104,1.0,3.0,0.1013,1.0,4.0,0.0,False,single_elimination,6,False
1,2,Joey McIntyre,rank,21.0,3.0,3.409674234945706,16.385320688919283,1.0,5.0,0.1013,1.0,6.0,0.0,False,single_elimination,6,False
1,2,John O'Hurley,rank,26.0,1.0,3.684106614017769,15.34089415088659,1.0,6.0,0.1013,1.0,6.0,0.0,False,single_elimination,6,False
1,2,Kelly Monaco,rank,17.0,5.0,2.588351431391905,19.955470712376403,1.0,4.0,0.1013,1.0,5.0,0.0,False,single_elimination,6,False
1,2,Rachel Hunter,rank,24.0,2.0,3.646594274432379,15.479631215445302,1.0,6.0,0.1013,1.0,6.0,0.0,False,single_elimination,6,False
1,2,Trista Sutter,rank,19.0,4.0,5.771964461994077,9.294624288802328,5.0,6.0,0.1013,3.0,6.0,0.0,False,single_elimination,6,True
1,3,Evander Holyfield,rank,13.0,5.0,3.832208293153327,15.445745009136875,2.0,5.0,0.6222,1.0,5.0,0.0,False,single_elimination,5,True
1,3,Joey McIntyre,rank,22.0,3.0,2.831565413050466,20.85359646101204,1.0,5.0,0.6222,1.0,5.0,0.0,False,single_elimination,5,False
1,3,John O'Hurley,rank,24.0,2.0,2.918836387013822,20.31470754484455,1.0,5.0,0.6222,1.0,5.0,0.0,False,single_elimination,5,False
1,3,Kelly Monaco,rank,21.0,4.0,2.4681774349083896,23.25552687755493,1.0,5.0,0.6222,1.0,5.0,0.0,False,single_elimination,5,False
